City_ID,City,Country,Max Temp,Cloudiness,Lat,Lng,Hotel Name
2,Arraial Do Cabo,BR,77.0,0,-22.9661,-42.0278,
4,Faanui,PF,80.51,24,-16.4833,-151.75,
5,Bengkulu,ID,78.66,100,-3.8004,102.2655,
11,Kavieng,PG,83.23,97,-2.5744,150.7967,
12,Rayevskiy,RU,83.53,67,54.0658,54.9468,
14,Kapaa,US,69.8,75,22.0752,-159.319,
15,Rikitea,PF,74.14,66,-23.1203,-134.9692,
23,Valera,VE,80.24,65,9.3178,-70.6036,
24,Surt,LY,83.44,9,31.2089,16.5887,
25,Vaini,TO,77.0,40,-21.2,-175.2,
29,Salinopolis,BR,79.29,100,-0.6136,-47.3561,
30,Ribeira Grande,PT,68.0,40,38.5167,-28.7,
32,Karratha,AU,76.1,98,-20.7377,116.8463,
34,Kihei,US,69.8,75,20.785,-156.4656,
35,San Carlos,VE,83.66,63,9.6612,-68.5827,
38,Bauta,CU,78.8,20,22.9828,-82.5464,
39,Zehdenick,DE,69.01,98,52.9785,13.3317,
41,Hailun,CN,65.52,97,47.45,126.9333,
43,Meulaboh,ID,77.27,100,4.1363,96.1285,
46,Alto Lucero,MX,71.13,0,19.6167,-96.7167,
48,Souillac,MU,80.6,40,-20.5167,57.5167,
50,Victoria,HK,87.01,100,22.2855,114.1577,
51,Nikolskoye,RU,77.0,0,59.7035,30.7861,
52,Ponta Do Sol,PT,73.4,20,32.6667,-17.1,
55,Petukhovo,RU,86.95,19,55.0692,67.9019,
56,Puerto Ayora,EC,75.99,44,-0.7393,-90.3518,
58,Porto Empedocle,IT,88.0,0,37.2934,13.5264,
59,Itamaraju,BR,78.46,24,-17.0392,-39.5311,
61,Zhanaozen,KZ,91.78,0,43.3,52.8,
65,Hilotongan,PH,84.67,86,11.144,123.6426,
66,Hilo,US,73.4,40,19.7297,-155.09,
69,Pyinmana,MM,91.33,100,19.7333,96.2167,
72,Saldanha,ZA,66.2,0,-33.0117,17.9442,
73,San Lorenzo,PY,73.4,40,-25.3333,-57.5333,
75,Xichang,CN,69.01,50,27.8964,102.2634,
78,Maibong,IN,77.4,75,25.3,93.1667,
80,Hovd,MN,66.83,61,48.0056,91.6419,
81,Lumphat,KH,85.1,100,13.4878,106.9816,
84,Puerto Lempira,HN,75.2,75,15.2667,-83.7667,
86,Lipari,IT,75.0,10,38.4674,14.954,
87,Katsuura,JP,75.0,90,35.1333,140.3,
88,Corinto,GR,79.0,30,37.9407,22.9573,
89,Yenagoa,NG,86.43,97,4.9247,6.2642,
90,Kollam,IN,87.8,40,8.8833,76.6,
92,Guatire,VE,78.8,40,10.4762,-66.5427,
93,Greenville,US,68.0,1,35.6127,-77.3663,
94,Butaritari,KI,83.46,24,3.0707,172.7902,
95,Ayutla,MX,65.21,0,20.1167,-104.3333,
98,Lasa,IT,71.6,40,46.6166,10.7002,
99,Hithadhoo,MV,84.83,48,-0.6,73.0833,
102,Los Llanos De Aridane,ES,71.6,20,28.6585,-17.9182,
105,Atuona,PF,79.09,93,-9.8,-139.0333,
106,Avarua,CK,75.2,75,-21.2078,-159.775,
108,Iquitos,PE,77.0,75,-3.7481,-73.2472,
110,Samarai,PG,81.52,87,-10.6167,150.6667,
111,Elmina,GH,85.96,100,5.0898,-1.348,
115,Saint-Leu,RE,80.6,0,-21.15,55.2833,
116,Kupang,ID,78.8,20,-10.1667,123.5833,
118,Oistins,BB,86.0,40,13.0667,-59.5333,
120,Paka,MY,80.6,100,4.6374,103.4368,
121,Acarau,BR,82.74,7,-2.8856,-40.12,
125,Aden,YE,89.92,6,12.7794,45.0367,
126,Champawat,IN,74.23,100,29.3333,80.1,
127,Natal,BR,82.4,40,-5.795,-35.2094,
129,Matara,LK,82.71,10,5.9485,80.5353,
130,Port Elizabeth,ZA,66.2,0,-33.918,25.5701,
132,Beloha,MG,80.29,4,-25.1667,45.05,
133,Garoua,CM,93.2,20,9.3,13.4,
135,Ambilobe,MG,85.24,27,-13.2,49.05,
138,Puerto Carreno,CO,79.07,100,6.189,-67.4859,
140,Vaitape,PF,80.51,27,-16.5167,-151.75,
141,Ponta Delgada,PT,66.2,75,37.7333,-25.6667,
142,Peniche,PT,70.0,31,39.3558,-9.3811,
145,Panaba,MX,77.83,100,21.2833,-88.2667,
146,Geraldton,AU,69.8,75,-28.7667,114.6,
147,Acari,PE,74.17,40,-15.4311,-74.6158,
151,Tabou,CI,81.61,100,4.423,-7.3528,
152,Payo,ID,75.7,100,-3.7508,103.6372,
154,Asau,RO,71.6,20,46.4333,26.4,
156,Amapa,BR,72.59,100,1.0,-52.0,
157,Grand-Santi,GF,78.1,82,4.25,-54.3833,
158,Nosy Varika,MG,78.58,2,-20.5833,48.5333,
160,Touros,BR,82.4,40,-5.1989,-35.4608,
162,Aras,ES,66.99,40,42.5617,-2.356,
165,Kamenka,RU,80.91,99,51.3223,42.7678,
167,Maragogi,BR,81.59,27,-9.0122,-35.2225,
168,Carnarvon,AU,71.6,100,-24.8667,113.6333,
169,Mahebourg,MU,80.6,40,-20.4081,57.7,
172,Manono,CD,90.34,100,-7.3,27.4167,
174,Padang,ID,78.8,75,-0.9492,100.3543,
176,Fare,PF,82.29,22,-16.7,-151.0167,
177,Camacha,PT,73.4,40,33.0833,-16.3333,
178,Tautira,PF,77.0,40,-17.7333,-149.15,
180,Tarancon,ES,73.99,8,40.0085,-3.0073,
181,Tavricheskoye,RU,89.6,75,54.5851,73.6395,
182,Kruisfontein,ZA,66.0,0,-34.0033,24.7314,
183,Cabo San Lucas,MX,73.4,1,22.8909,-109.9124,
184,San Patricio,US,78.01,90,28.017,-97.5169,
185,Rosita,NI,77.27,100,13.9268,-84.4032,
187,Mahajanga,MG,89.6,20,-15.7167,46.3167,
188,Saint-Philippe,RE,80.6,0,-21.3585,55.7679,
191,Dingle,PH,81.25,95,10.9995,122.6711,
193,Vila Franca Do Campo,PT,66.2,75,37.7167,-25.4333,
194,Namatanai,PG,80.44,74,-3.6667,152.4333,
195,Itaituba,BR,80.6,75,-4.2761,-55.9836,
196,Diu,IN,77.25,100,20.7141,70.9822,
198,Jalu,LY,91.33,6,29.0331,21.5482,
199,Kahului,US,69.8,75,20.8947,-156.47,
200,Lorengau,PG,81.77,88,-2.0226,147.2712,
201,Muisne,EC,77.0,75,0.6,-80.0333,
202,San Cristobal,VE,80.6,75,7.7669,-72.225,
203,Upata,VE,80.28,100,8.0086,-62.3989,
204,Sambava,MG,80.49,20,-14.2667,50.1667,
205,Iki-Burul,RU,89.6,0,45.8208,44.6472,
208,Porto Novo,BJ,87.8,40,6.4965,2.6036,
210,Pallasovka,RU,87.08,14,50.05,46.8833,
212,Wewak,PG,81.27,85,-3.5534,143.6268,
215,Richards Bay,ZA,68.52,87,-28.783,32.0377,
216,Muhos,FI,71.6,0,64.808,25.9931,
219,Grand Gaube,MU,79.0,2,-20.0064,57.6608,
220,Khandbari,NP,75.0,100,27.3747,87.2039,
222,Ndele,CF,85.5,100,8.4109,20.6473,
227,Sao Filipe,CV,75.38,77,14.8961,-24.4956,
228,Kulhudhuffushi,MV,84.63,6,6.6221,73.07,
229,Melilla,ES,87.8,0,35.2937,-2.9383,
230,Bambous Virieux,MU,80.6,40,-20.3428,57.7575,
232,Abha,SA,84.2,20,18.2164,42.5053,
233,Poya,NC,72.09,64,-21.35,165.15,
234,Vila Velha,BR,77.0,40,-20.3297,-40.2925,
235,Sumbe,AO,82.4,0,-11.2061,13.8437,
236,Ende,ID,76.89,77,-8.8432,121.6623,
237,Hami,CN,70.66,98,42.8,93.45,
238,Matadi,CD,91.27,24,-5.8167,13.45,
240,Omboue,GA,82.96,71,-1.5746,9.2618,
247,Matay,EG,91.44,0,28.419,30.7792,
251,Altamira,BR,77.0,90,-3.2033,-52.2064,
252,Mazagao,BR,82.4,75,-0.115,-51.2894,
253,Odweyne,SO,93.51,90,9.4092,45.064,
254,Tura,IN,82.36,95,25.5198,90.2201,
256,Yuryev-Polskiy,RU,76.55,22,56.5,39.6833,
258,Mahibadhoo,MV,84.76,12,3.7833,72.9667,
261,Celestun,MX,78.31,100,20.8667,-90.4,
264,Neiafu,TO,78.8,40,-18.65,-173.9833,
266,Contamana,PE,74.95,45,-7.3333,-75.0167,
267,Hirara,JP,80.35,100,24.8,125.2833,
269,Punta Cardon,VE,81.23,24,11.6581,-70.215,
271,Nantucket,US,66.2,75,41.2835,-70.0995,
276,Santa Clara,CU,75.2,75,22.4,-79.9667,
278,Kantemirovka,RU,80.82,0,49.7089,39.8592,
279,Jardim,BR,80.91,48,-21.4803,-56.1381,
280,Zhob,PK,76.96,87,31.3411,69.4481,
282,Cabinda,AO,86.0,75,-5.55,12.2,
283,Nisia Floresta,BR,82.4,40,-6.0911,-35.2086,
284,Tibati,CM,78.46,90,6.4667,12.6333,
285,Soyo,AO,86.0,75,-6.1349,12.3689,
286,Mitsamiouli,KM,81.37,50,-11.3847,43.2844,
287,Buchanan,LR,87.8,75,5.8808,-10.0467,
289,Sao Joao Da Barra,BR,77.0,0,-21.6403,-41.0511,
294,Biak,ID,76.46,100,-0.9131,122.8766,
296,Kokkola,FI,69.8,0,63.8385,23.1307,
298,Villanueva,HN,81.0,75,15.3167,-88.0,
301,Bathsheba,BB,86.0,40,13.2167,-59.5167,
302,Cockburn Town,TC,80.6,40,21.4612,-71.1419,
303,Hualmay,PE,65.3,48,-11.0964,-77.6139,
304,Thinadhoo,MV,84.79,13,0.5333,72.9333,
305,Pringsewu,ID,75.27,34,-5.3582,104.9744,
306,Georgetown,MY,84.99,20,5.4112,100.3354,
307,Chkalovsk,RU,84.2,0,56.7647,43.2433,
309,Trincomalee,LK,86.52,16,8.5711,81.2335,
310,Puerto Colombia,CO,80.6,40,10.9878,-74.9547,
313,Aktau,KZ,93.2,0,43.65,51.2,
317,Castelbuono,IT,72.0,16,37.932,14.0886,
318,Bandarbeyla,SO,89.15,38,9.4942,50.8122,
319,Olinda,BR,80.6,40,-8.0089,-34.8553,
320,Itarema,BR,82.47,12,-2.9248,-39.9167,
322,Komsomolskiy,UZ,86.0,32,40.4272,71.7189,
324,Nanchong,CN,71.37,100,30.7951,106.0847,
327,Ternate,ID,81.93,100,0.8,127.4,
329,Kaminoyama,JP,68.0,75,38.1539,140.2736,
330,Karpogory,RU,65.16,100,64.0019,44.4451,
335,Alexandria,EG,77.0,20,31.2156,29.9553,
338,Naze,JP,74.01,100,28.3667,129.4833,
339,Kuminskiy,RU,66.22,21,58.6667,66.5667,
342,Sao Jose Da Coroa Grande,BR,81.72,41,-8.8978,-35.1478,
345,Murgab,TM,93.2,0,37.4966,61.9714,
346,Yaring,TH,82.58,100,6.8662,101.3689,
347,Road Town,VG,84.99,40,18.4167,-64.6167,
349,Itoman,JP,80.6,75,26.1247,127.6694,
351,Lufilufi,WS,73.4,20,-13.8745,-171.5986,
352,Tomatlan,MX,73.24,0,19.9333,-105.25,
354,Tadine,NC,72.54,97,-21.55,167.8833,
357,Martapura,ID,80.6,90,-3.4167,114.85,
359,San Pedro,PH,86.0,20,14.35,121.0167,
361,Razole,IN,91.4,40,16.4833,81.8333,
363,Hasaki,JP,75.2,75,35.7333,140.8333,
365,Axim,GH,85.59,70,4.8699,-2.2405,
366,Semey,KZ,80.6,0,50.4111,80.2275,
367,Aleksandrov Gay,RU,87.4,0,50.147,48.5704,
368,Nigrita,GR,80.01,36,40.9053,23.4994,
369,Syracuse,IT,82.99,0,37.0881,15.2792,
371,Kloulklubed,PW,78.8,75,7.0419,134.2556,
372,Coahuayana,MX,66.2,90,18.7333,-103.6833,
375,Rock Sound,BS,76.98,78,24.9,-76.2,
376,Rabo De Peixe,PT,66.2,75,37.8,-25.5833,
378,Cururupu,BR,81.48,89,-1.8283,-44.8683,
380,Salalah,OM,89.6,20,17.0151,54.0924,
381,Tobane,BW,87.8,0,-21.95,27.9,
382,Mount Isa,AU,66.2,0,-20.7333,139.5,
383,Kovvur,IN,91.4,40,17.0167,81.7333,
384,Dekar,BW,81.03,87,-21.5333,21.9333,
386,Makakilo City,US,73.4,40,21.3469,-158.0858,
389,Saint-Joseph,RE,80.6,0,-21.3667,55.6167,
390,Kaspiyskiy,RU,76.53,6,45.3929,47.3707,
392,Puerto Leguizamo,CO,73.8,99,-0.1934,-74.7819,
394,Port Antonio,JM,84.99,20,18.18,-76.4612,
396,Atar,MR,93.2,100,20.5169,-13.0499,
397,Banes,CU,82.4,40,20.9625,-75.7186,
398,Baleshwar,IN,88.48,10,21.4942,86.9317,
399,Luena,AO,82.4,0,-11.7833,19.9167,
400,Phatthalung,TH,82.4,75,7.5,100.0833,
401,Mogadishu,SO,84.2,40,2.0371,45.3438,
402,Xuddur,SO,92.91,33,4.1213,43.8894,
404,Sao Domingos,BR,77.49,100,-13.3983,-46.3183,
405,Cosamaloapan,MX,80.01,7,18.3667,-95.8,
406,Soavinandriana,MG,69.28,65,-19.1667,46.7333,
407,Sorong,ID,80.83,100,-0.8833,131.25,
408,Kroya,ID,80.31,100,-7.6331,109.2461,
410,The Valley,AI,84.2,20,18.217,-63.0578,
412,Piedecuesta,CO,68.0,75,6.9879,-73.0495,
414,Cabedelo,BR,82.4,75,-6.9811,-34.8339,
415,Dasoguz,TM,91.4,0,41.8363,59.9666,
416,Kapit,MY,75.69,100,2.0167,112.9333,
417,La Rioja,ES,66.99,40,42.25,-2.5,
418,Bryan,US,73.99,90,30.6744,-96.37,
421,Villarrica,PY,71.37,0,-25.75,-56.4333,
425,Arkhangelskoye,RU,77.05,10,55.8549,35.3287,
427,Luganville,VU,79.84,100,-15.5333,167.1667,
430,Gurupa,BR,79.05,31,-1.405,-51.64,
433,Leku,ET,71.35,100,6.8667,38.45,
434,Port Shepstone,ZA,67.71,18,-30.7414,30.455,
435,Bergama,TR,81.0,20,39.1207,27.1805,
436,Nishihara,JP,80.6,75,26.1842,127.7558,
441,Mouzouras,GR,77.0,0,35.5333,24.15,
442,Hays,US,73.99,100,30.0502,-98.0336,
444,Ocos,GT,77.0,40,14.5094,-92.1933,
445,Ambon,ID,81.55,93,-3.6954,128.1814,
450,Calamar,CO,84.2,75,10.2511,-74.9146,
454,Waingapu,ID,77.2,12,-9.6567,120.2641,
456,Kismayo,SO,83.25,81,-0.3582,42.5454,
457,Weligama,LK,82.63,14,5.9667,80.4167,
458,Ambovombe,MG,77.85,19,-25.1667,46.0833,
459,Hue,VN,87.8,20,16.4667,107.6,
461,Coari,BR,79.7,100,-4.085,-63.1414,
464,Kuching,MY,80.6,20,1.55,110.3333,
465,Rayong,TH,84.99,20,12.8333,101.4333,
467,Port Moresby,PG,78.8,75,-9.4431,147.1797,
468,Mongoumba,CF,93.81,96,3.6415,18.5936,
469,Korla,CN,66.09,100,41.7597,86.1469,
471,Hamina,FI,73.4,20,60.5697,27.1979,
472,Dickinson,US,77.0,75,29.4608,-95.0513,
475,Pindiga,NG,91.4,0,9.9833,10.9333,
476,Cadiz,ES,89.6,0,36.5,-5.75,
480,Maningrida,AU,74.68,17,-12.0667,134.2667,
481,Mujiayingzi,CN,67.03,67,42.1167,118.7833,
482,Bojnurd,IR,86.0,20,37.4747,57.329,
483,Sattahip,TH,84.2,20,12.6664,100.9007,
485,Abyek,IR,86.0,40,36.0667,50.55,
490,Villacarrillo,ES,79.7,58,38.1156,-3.0848,
492,Marawi,PH,84.99,60,7.9986,124.2928,
493,Lata,PT,73.99,82,40.1629,-8.3327,
495,Sao Felix Do Xingu,BR,83.71,48,-6.6447,-51.995,
496,Puerto Del Rosario,ES,75.2,20,28.5004,-13.8627,
497,Jieshi,CN,82.44,83,22.8134,115.8257,
504,Watsa,CD,87.28,100,3.0372,29.5355,
505,Sola,VU,81.9,80,-13.8833,167.55,
506,Idil,TR,89.6,40,37.3411,41.8895,
507,Kualakapuas,ID,80.6,90,-3.0091,114.3876,
508,Port-Gentil,GA,84.2,75,-0.7193,8.7815,
511,Verkhniy Baskunchak,RU,89.47,6,48.2256,46.7217,
513,Plymouth,US,66.2,1,41.8334,-70.8328,
514,Brattleboro,US,66.0,13,42.8509,-72.5579,
516,Colares,PT,73.0,0,38.7992,-9.4469,
517,Ishigaki,JP,81.25,100,24.3448,124.1572,
518,Vanimo,PG,80.01,99,-2.6741,141.3028,
519,Zhezkazgan,KZ,85.86,15,47.8043,67.7144,
521,Kamensk-Uralskiy,RU,86.13,56,56.4185,61.9329,
525,Zhenlai,CN,73.38,25,45.8495,123.2973,
526,Port Blair,IN,85.68,100,11.6667,92.75,
529,Moramanga,MG,73.35,27,-18.9333,48.2,
531,Onverwacht,SR,84.2,75,5.5833,-55.1833,
532,Abu Samrah,SY,83.28,10,35.3029,37.1841,
537,Tomohon,ID,78.8,40,1.3346,124.8392,
538,Porto Murtinho,BR,79.36,88,-21.6989,-57.8825,
540,Baherden,TM,93.09,0,38.4362,57.4316,
541,Salamiyah,SY,81.41,11,35.0113,37.0532,
543,Lashio,MM,78.82,18,22.9333,97.75,
544,Aste,IT,66.99,11,45.7906,11.0961,
546,Palamedu,IN,84.2,40,10.1167,78.1167,
547,Tanabe,JP,73.0,99,33.7333,135.3667,
548,Gazalkent,UZ,89.6,0,41.5581,69.7708,
550,Honiara,SB,78.6,42,-9.4333,159.95,
553,Isangel,VU,75.2,40,-19.55,169.2667,
554,Mweka,CD,90.0,95,-4.85,21.5667,
556,Turan,VN,84.2,20,16.0678,108.2208,
557,Choix,MX,68.58,0,26.7092,-108.3219,
558,Wajir,KE,93.2,75,1.7471,40.0573,
559,Sechura,PE,68.27,8,-5.5569,-80.8222,
561,Asmar,AF,80.56,41,35.0333,71.3581,
562,Shingu,JP,73.0,100,33.7333,135.9833,
563,Katobu,ID,75.9,100,-4.9408,122.5276,
567,Gigmoto,PH,81.45,88,13.7796,124.39,
568,Tingi,TZ,70.03,88,-11.3,35.0333,
569,Wanning,CN,82.67,27,18.8003,110.3967,
